regret,cumregret,paramerror,context,action,reward
1.1102230246251565e-16,5.592767348583535,0.05894103742956891,7,4,0.48979066794640574
1.1102230246251565e-16,5.592767348583535,0.05889574025493115,40,2,0.3987387969055726
0.0,5.592767348583535,0.0589397945497189,36,7,0.4549020789887366
0.0,5.592767348583535,0.059649030409920464,36,7,0.30546338080405755
0.0,5.592767348583535,0.05635645613285355,83,3,0.8050179994919868
-1.1102230246251565e-16,5.592767348583535,0.05645430250388104,22,0,0.2454699535368948
5.551115123125783e-17,5.592767348583535,0.0595696436262836,45,1,0.11776417763158592
-5.551115123125783e-17,5.592767348583535,0.06039296334154021,53,9,0.39309484143402496
0.0,5.592767348583535,0.059917625510075206,55,2,0.46533924807244953
0.0,5.592767348583535,0.05862679462873816,82,6,0.6247185373362681
5.551115123125783e-17,5.592767348583535,0.060308712845831974,88,2,0.4688571596047147
0.015595149170863576,5.608362497754398,0.06035112162412401,80,8,0.34072008226957773
5.551115123125783e-17,5.608362497754398,0.06053376112244559,12,7,0.38708837318426104
0.0,5.608362497754398,0.06100831306474685,27,2,0.1366203943272322
0.0,5.608362497754398,0.06104040514787462,62,2,0.4430961367510176
0.0,5.608362497754398,0.061038096818554315,67,3,0.7031743156010521
0.0,5.608362497754398,0.06144481718677089,16,9,0.38374259238408415
0.0,5.608362497754398,0.06460113724606047,98,9,0.5823634507372526
5.551115123125783e-17,5.608362497754398,0.062169912271847,0,7,0.19019328885732523
-5.551115123125783e-17,5.608362497754398,0.06214643903957785,9,2,0.5666640930244479
0.010926487176703026,5.619288984931101,0.06012537801176175,93,3,0.27733511867917787
0.0,5.619288984931101,0.06012910649904989,44,3,0.28912588004223183
-1.1102230246251565e-16,5.619288984931101,0.05981565442150833,47,9,0.59535154342586
0.0,5.619288984931101,0.05962748807032157,62,2,0.33032635890214485
0.0,5.619288984931101,0.0596311210014907,23,8,0.6987285687016668
1.1102230246251565e-16,5.619288984931101,0.05939743072511153,81,8,0.963384461554767
0.0,5.619288984931101,0.05845771263141272,39,4,0.417065244538324
1.1102230246251565e-16,5.619288984931101,0.05835370535476615,92,1,0.7553093637902931
5.551115123125783e-17,5.619288984931101,0.05799219970216787,3,6,0.23635853829979203
5.551115123125783e-17,5.619288984931101,0.05593426720779584,88,2,0.4313187889635187
-5.551115123125783e-17,5.619288984931101,0.05571418913124046,26,4,0.4505517583074851
-1.1102230246251565e-16,5.619288984931101,0.056293216841212745,15,7,0.49803084663614494
0.0,5.619288984931101,0.05534154152955121,79,0,0.5534554072099772
5.551115123125783e-17,5.619288984931101,0.05506311955843873,3,6,0.17471448162115877
0.0,5.619288984931101,0.05416536573263792,79,0,0.6448852767779154
1.1102230246251565e-16,5.619288984931101,0.05416118475807879,41,4,0.5386540280869255
0.008052970395834913,5.627341955326936,0.05431033792389744,50,8,0.4762923920530568
0.0,5.627341955326936,0.054333931120261025,44,3,0.28035338326657905
0.040925699655022685,5.668267654981959,0.05399407448690655,64,5,0.5157396538298956
0.0,5.668267654981959,0.05450526481807855,10,5,0.38133555635828087
1.1102230246251565e-16,5.668267654981959,0.05253365721776199,7,4,0.42340474141557644
0.0,5.668267654981959,0.05282285485463807,35,1,0.5200709131431613
0.0,5.668267654981959,0.052824832813561484,36,7,0.1407845529780794
1.1102230246251565e-16,5.668267654981959,0.04787061514151222,81,8,0.8344272132060406
0.0,5.668267654981959,0.04765184812515814,32,0,0.5356981345996283
0.0,5.668267654981959,0.048377958325190984,31,9,0.3028946402554879
0.0,5.668267654981959,0.04806908773092211,5,8,0.4862651278520176
5.551115123125783e-17,5.668267654981959,0.04808521959081578,12,7,0.5269342843546536
-5.551115123125783e-17,5.668267654981959,0.04920011041539634,29,0,0.2967976952102861
5.551115123125783e-17,5.668267654981959,0.047596753849596614,3,6,0.21872182520408165
0.008052970395834913,5.676320625377794,0.04635519403297022,50,8,0.4737764952245692
0.0,5.676320625377794,0.0464109455258769,86,2,0.2829713213564078
-5.551115123125783e-17,5.676320625377794,0.05017065690086787,56,5,0.4060251986066868
-1.1102230246251565e-16,5.676320625377794,0.050416323318070756,47,9,0.5713717898993691
5.551115123125783e-17,5.676320625377794,0.05017882721183195,3,6,0.13549347273303977
0.0,5.676320625377794,0.049981985056799606,65,5,0.2542026968122633
0.0,5.676320625377794,0.04993177219273365,90,3,0.19808044431864202
-5.551115123125783e-17,5.676320625377794,0.05012410172337701,9,2,0.4652751116825936
0.0,5.676320625377794,0.04885797453835535,90,3,0.24855268379500034
0.0,5.676320625377794,0.049238446956541435,21,4,0.7825350590590318
-5.551115123125783e-17,5.676320625377794,0.04926976409470058,87,0,0.32395576339492543
0.0,5.676320625377794,0.049267815684823975,5,8,0.5510968715503376
0.0,5.676320625377794,0.0494842639376594,84,9,0.529046260591991
0.0,5.676320625377794,0.04911050582673143,32,0,0.736668536547621
0.0,5.676320625377794,0.04692940883545723,61,6,0.17796130665115836
0.0,5.676320625377794,0.04681122829913033,86,2,0.6539876301571681
